datetime,value,percentage,ano,mes,hora,min,return-log
2014-01-05 00:00:00+00:00,27193.678694158076,0.3344420898028886,2014.0,1.0,11.618556701030927,25.0,0.0005301126116687909
2014-01-12 00:00:00+00:00,28558.553571428572,0.33347480417790154,2014.0,1.0,11.5,25.0,0.04897194558816942
2014-01-19 00:00:00+00:00,30339.781746031746,0.3332169563283263,2014.0,1.0,11.5,25.0,0.06050328935899252
2014-01-26 00:00:00+00:00,30582.15873015873,0.33304677141885386,2014.0,1.0,11.5,25.0,0.007957010595946556
2014-02-02 00:00:00+00:00,30525.325396825396,0.3331330702527276,2014.0,1.2857142857142858,11.5,25.0,-0.0018601109350928624
2014-02-09 00:00:00+00:00,30737.41865079365,0.3333426145953017,2014.0,2.0,11.5,25.0,0.006924081009707095
2014-02-16 00:00:00+00:00,30319.63988095238,0.33326361507444846,2014.0,2.0,11.5,25.0,-0.01368507753397985
2014-02-23 00:00:00+00:00,29708.272817460318,0.33322823560583026,2014.0,2.0,11.5,25.0,-0.02037013036199653
2014-03-02 00:00:00+00:00,29738.429563492064,0.33332701870638703,2014.0,2.2857142857142856,11.5,25.0,0.0010145810418666912
2014-03-09 00:00:00+00:00,28722.36011904762,0.3333000220874757,2014.0,3.0,11.5,25.0,-0.034764216455455355
2014-03-16 00:00:00+00:00,28028.196428571428,0.33311966477816496,2014.0,3.0,11.5,25.0,-0.02446489886919956
2014-03-23 00:00:00+00:00,26941.931547619046,0.33307418675156225,2014.0,3.0,11.5,25.0,-0.039527152239640984
2014-03-30 00:00:00+00:00,28448.406746031746,0.33381914382124983,2014.0,3.0,11.5,25.0,0.054408290565310935
2014-04-06 00:00:00+00:00,27770.98115079365,0.333463617352927,2014.0,3.857142857142857,11.5,25.0,-0.024100525091311553
2014-04-13 00:00:00+00:00,26460.197420634922,0.3333333800847958,2014.0,4.0,11.5,25.0,-0.048350012259623654
2014-04-20 00:00:00+00:00,23957.834325396827,0.33372838855570297,2014.0,4.0,11.5,25.0,-0.09934623768114292
2014-04-27 00:00:00+00:00,25489.60615079365,0.33349588798178553,2014.0,4.0,11.5,25.0,0.06197538506732769
2014-05-04 00:00:00+00:00,24767.493055555555,0.3336558047762836,2014.0,4.571428571428571,11.5,25.0,-0.028738737662825642
2014-05-11 00:00:00+00:00,26360.560515873014,0.33281507269202515,2014.0,5.0,11.5,25.0,0.06233694380844135
2014-05-18 00:00:00+00:00,26271.170634920636,0.3332479113030592,2014.0,5.0,11.5,25.0,-0.0033968089192022433
2014-05-25 00:00:00+00:00,26256.210317460318,0.33340116590344243,2014.0,5.0,11.5,25.0,-0.0005696197904256906
2014-06-01 00:00:00+00:00,26217.98214285714,0.33328499263142536,2014.0,5.142857142857143,11.5,25.0,-0.0014570279054808566
2014-06-08 00:00:00+00:00,26737.00396825397,0.3333200304894509,2014.0,6.0,11.5,25.0,0.01960300565149531
2014-06-15 00:00:00+00:00,27807.0248015873,0.33336688423291383,2014.0,6.0,11.5,25.0,0.03924015715577589
2014-06-22 00:00:00+00:00,27453.490079365078,0.33291794008278713,2014.0,6.0,11.5,25.0,-0.012795376460447372
2014-06-29 00:00:00+00:00,27011.244047619046,0.3334898999276649,2014.0,6.0,11.5,25.0,-0.01624007749701839
2014-07-06 00:00:00+00:00,27446.771825396827,0.3333602630568652,2014.0,6.857142857142857,11.5,25.0,0.01599533352791127
2014-07-13 00:00:00+00:00,27553.779761904763,0.3333610752616102,2014.0,7.0,11.5,25.0,0.0038911635770304542
2014-07-20 00:00:00+00:00,29217.376984126986,0.33314376852464006,2014.0,7.0,11.5,25.0,0.05862391183954507
2014-07-27 00:00:00+00:00,28775.612103174604,0.33310195665441417,2014.0,7.0,11.5,25.0,-0.01523540803780321
