datetime,Valor,Dia,Ano,Hora,Minuto,return-log
2015-08-12 04:00:00,28.953000000000003,12.0,2015.0,4.0,0.0,-0.5739838019316781
2015-08-12 05:00:00,22.991999999999997,12.0,2015.0,5.0,0.0,-0.23052749625643987
2015-08-12 06:00:00,17.206,12.0,2015.0,6.0,0.0,-0.28988816913751236
2015-08-12 07:00:00,13.953,12.0,2015.0,7.0,0.0,-0.209563621289087
2015-08-12 08:00:00,12.36,12.0,2015.0,8.0,0.0,-0.12122908688052458
2015-08-12 09:00:00,10.134,12.0,2015.0,9.0,0.0,-0.198569344975827
2015-08-12 10:00:00,36.762,12.0,2015.0,10.0,0.0,1.2885685959178548
2015-08-12 11:00:00,23.663,12.0,2015.0,11.0,0.0,-0.44055205617865845
2015-08-12 12:00:00,25.045,12.0,2015.0,12.0,0.0,0.05676156001666621
2015-08-12 13:00:00,13.823,12.0,2015.0,13.0,0.0,-0.59434033532736
2015-08-12 14:00:00,7.432,12.0,2015.0,14.0,0.0,-0.6205388699706829
2015-08-12 15:00:00,14.708,12.0,2015.0,15.0,0.0,0.6825965619274879
2015-08-12 16:00:00,15.565999999999999,12.0,2015.0,16.0,0.0,0.05669748509817074
2015-08-12 17:00:00,14.925,12.0,2015.0,17.0,0.0,-0.042051389258530136
2015-08-12 18:00:00,11.867,12.0,2015.0,18.0,0.0,-0.229276220595664
2015-08-12 19:00:00,9.141,12.0,2015.0,19.0,0.0,-0.2609916500113205
2015-08-12 20:00:00,7.462000000000001,12.0,2015.0,20.0,0.0,-0.20294631387271522
2015-08-12 21:00:00,19.767,12.0,2015.0,21.0,0.0,0.9741904058008264
2015-08-12 22:00:00,15.345999999999998,12.0,2015.0,22.0,0.0,-0.25315902684431935
2015-08-12 23:00:00,9.593,12.0,2015.0,23.0,0.0,-0.469821187919663
2015-08-13 00:00:00,19.983,13.0,2015.0,0.0,0.0,0.7338482462633418
2015-08-13 01:00:00,77.771,13.0,2015.0,1.0,0.0,1.3588866989537314
2015-08-13 02:00:00,74.225,13.0,2015.0,2.0,0.0,-0.04666759040306001
2015-08-13 03:00:00,50.388000000000005,13.0,2015.0,3.0,0.0,-0.38734796915976677
2015-08-13 04:00:00,22.136,13.0,2015.0,4.0,0.0,-0.8225478090054321
2015-08-13 05:00:00,17.213,13.0,2015.0,5.0,0.0,-0.2515403301952559
2015-08-13 06:00:00,12.549000000000001,13.0,2015.0,6.0,0.0,-0.3160239311611974
2015-08-13 07:00:00,6.737,13.0,2015.0,7.0,0.0,-0.6220262591496484
2015-08-13 08:00:00,8.707,13.0,2015.0,8.0,0.0,0.25651257786795556
2015-08-13 09:00:00,3.221,13.0,2015.0,9.0,0.0,-0.9944354294974167
2015-08-13 10:00:00,438.0,13.0,2015.0,10.0,0.0,4.912527040027385
2015-08-13 11:00:00,1.171,13.0,2015.0,11.0,0.0,-5.924360825760866
2015-08-13 12:00:00,9.015,13.0,2015.0,12.0,0.0,2.0410317720397004
2015-08-13 13:00:00,4.548,13.0,2015.0,13.0,0.0,-0.6842022807669912
2015-08-13 14:00:00,20.118,13.0,2015.0,14.0,0.0,1.486927360823857
2015-08-13 15:00:00,20.282,13.0,2015.0,15.0,0.0,0.008118856477658198
2015-08-13 16:00:00,17.257,13.0,2015.0,16.0,0.0,-0.1615159349243629
2015-08-13 17:00:00,14.929,13.0,2015.0,17.0,0.0,-0.14491222819398875
2015-08-13 18:00:00,8.379,13.0,2015.0,18.0,0.0,-0.5775770544403036
2015-08-13 19:00:00,12.099,13.0,2015.0,19.0,0.0,0.3673942289281915
2015-08-13 20:00:00,8.922,13.0,2015.0,20.0,0.0,-0.30460266785326784
2015-08-13 21:00:00,9.265,13.0,2015.0,21.0,0.0,0.037723723031250156
2015-08-13 22:00:00,12.074000000000002,13.0,2015.0,22.0,0.0,0.26481052063691113
2015-08-13 23:00:00,8.422,13.0,2015.0,23.0,0.0,-0.3602070506344983
2015-08-14 00:00:00,10.364,14.0,2015.0,0.0,0.0,0.20749093296012733
2015-08-14 01:00:00,81.449,14.0,2015.0,1.0,0.0,2.0616387948019805
2015-08-14 02:00:00,74.782,14.0,2015.0,2.0,0.0,-0.08539984319150484
2015-08-14 03:00:00,57.324,14.0,2015.0,3.0,0.0,-0.26585783011451447
2015-08-14 04:00:00,32.839,14.0,2015.0,4.0,0.0,-0.5571025507451433
2015-08-14 05:00:00,16.662,14.0,2015.0,5.0,0.0,-0.6784861558979638
2015-08-14 06:00:00,6.178999999999999,14.0,2015.0,6.0,0.0,-0.9919742314738753
2015-08-14 07:00:00,8.49,14.0,2015.0,7.0,0.0,0.3177325542444136
2015-08-14 08:00:00,11.833,14.0,2015.0,8.0,0.0,0.332003238079166
2015-08-14 09:00:00,7.317,14.0,2015.0,9.0,0.0,-0.480691830500529
2015-08-14 10:00:00,13.892999999999999,14.0,2015.0,10.0,0.0,0.6411847082648316
2015-08-14 11:00:00,1.37,14.0,2015.0,11.0,0.0,-2.316574376326691
2015-08-14 12:00:00,11.697000000000001,14.0,2015.0,12.0,0.0,2.1445216588285363
2015-08-14 13:00:00,23.048000000000002,14.0,2015.0,13.0,0.0,0.6782465991136575
2015-08-14 14:00:00,27.171,14.0,2015.0,14.0,0.0,0.16457123027869347
2015-08-14 15:00:00,18.741,14.0,2015.0,15.0,0.0,-0.3714365908813786
2015-08-14 16:00:00,16.22,14.0,2015.0,16.0,0.0,-0.14446858849227562
2015-08-14 17:00:00,13.918,14.0,2015.0,17.0,0.0,-0.15306208226460827
2015-08-14 18:00:00,7.621,14.0,2015.0,18.0,0.0,-0.6022753717386782
2015-08-14 19:00:00,4.048,14.0,2015.0,19.0,0.0,-0.6326846626988158
2015-08-14 20:00:00,6.227,14.0,2015.0,20.0,0.0,0.4306717439051506
2015-08-14 21:00:00,10.777000000000001,14.0,2015.0,21.0,0.0,0.5485195577243795
2015-08-14 22:00:00,20.715999999999998,14.0,2015.0,22.0,0.0,0.6534921149469501
2015-08-14 23:00:00,19.552,14.0,2015.0,23.0,0.0,-0.05782876557245986
2015-08-15 00:00:00,26.653000000000002,15.0,2015.0,0.0,0.0,0.3098241316435746
2015-08-15 01:00:00,86.43799999999999,15.0,2015.0,1.0,0.0,1.176525679301879
2015-08-15 02:00:00,66.403,15.0,2015.0,2.0,0.0,-0.26368515774997636
2015-08-15 03:00:00,42.456,15.0,2015.0,3.0,0.0,-0.44727399065906814
2015-08-15 04:00:00,18.119,15.0,2015.0,4.0,0.0,-0.8515071340716234
2015-08-15 05:00:00,12.822000000000001,15.0,2015.0,5.0,0.0,-0.3457986658889052
2015-08-15 06:00:00,6.556,15.0,2015.0,6.0,0.0,-0.6707817846834823
2015-08-15 07:00:00,2.985,15.0,2015.0,7.0,0.0,-0.7867809140370179
2015-08-15 08:00:00,0.22,15.0,2015.0,8.0,0.0,-2.607727479474341
2015-08-15 09:00:00,3.0,15.0,2015.0,9.0,0.0,2.6127400212978853
2015-08-15 10:00:00,3.0,15.0,2015.0,10.0,0.0,0.0
2015-08-15 11:00:00,3.0,15.0,2015.0,11.0,0.0,0.0
